2025-03-26 08:00 - 2025-03-26 08:50: Data Structures and Algorithms (BCASemSecondm) at D1, Faculty: Dr. Kunjan Nayankumar Shah
2025-04-02 08:00 - 2025-04-02 08:50: Data Structures and Algorithms (BCASemSecondm) at D1, Faculty: Dr. Kunjan Nayankumar Shah
2025-04-09 08:00 - 2025-04-09 08:50: Data Structures and Algorithms (BCASemSecondm) at D1, Faculty: Dr. Kunjan Nayankumar Shah
2025-04-16 08:00 - 2025-04-16 08:50: Data Structures and Algorithms (BCASemSecondm) at D1, Faculty: Dr. Kunjan Nayankumar Shah
2025-04-23 08:00 - 2025-04-23 08:50: Data Structures and Algorithms (BCASemSecondm) at D1, Faculty: Dr. Kunjan Nayankumar Shah
2025-04-30 08:00 - 2025-04-30 08:50: Data Structures and Algorithms (BCASemSecondm) at D1, Faculty: Dr. Kunjan Nayankumar Shah
2025-05-07 08:00 - 2025-05-07 08:50: Data Structures and Algorithms (BCASemSecondm) at D1, Faculty: Dr. Kunjan Nayankumar Shah
2025-05-14 08:00 - 2025-05-14 08:50: Data Structures and Algorithms (BCASemSecondm) at D1, Faculty: Dr. Kunjan Nayankumar Shah
2025-05-21 08:00 - 2025-05-21 08:50: Data Structures and Algorithms (BCASemSecondm) at D1, Faculty: Dr. Kunjan Nayankumar Shah
2025-05-28 08:00 - 2025-05-28 08:50: Data Structures and Algorithms (BCASemSecondm) at D1, Faculty: Dr. Kunjan Nayankumar Shah
2025-06-04 08:00 - 2025-06-04 08:50: Data Structures and Algorithms (BCASemSecondm) at D1, Faculty: Dr. Kunjan Nayankumar Shah
2025-03-07 08:00 - 2025-03-07 08:50: Applied AI (BCASemSecondm) at D1, Faculty: Naveen Kandwal
2025-03-14 08:00 - 2025-03-14 08:50: Applied AI (BCASemSecondm) at D1, Faculty: Naveen Kandwal
2025-03-21 08:00 - 2025-03-21 08:50: Applied AI (BCASemSecondm) at D1, Faculty: Naveen Kandwal
2025-03-28 08:00 - 2025-03-28 08:50: Applied AI (BCASemSecondm) at D1, Faculty: Naveen Kandwal
2025-04-04 08:00 - 2025-04-04 08:50: Applied AI (BCASemSecondm) at D1, Faculty: Naveen Kandwal
2025-04-11 08:00 - 2025-04-11 08:50: Applied AI (BCASemSecondm) at D1, Faculty: Naveen Kandwal
2025-04-18 08:00 - 2025-04-18 08:50: Applied AI (BCASemSecondm) at D1, Faculty: Naveen Kandwal
2025-04-25 08:00 - 2025-04-25 08:50: Applied AI (BCASemSecondm) at D1, Faculty: Naveen Kandwal
2025-05-02 08:00 - 2025-05-02 08:50: Applied AI (BCASemSecondm) at D1, Faculty: Naveen Kandwal
2025-05-09 08:00 - 2025-05-09 08:50: Applied AI (BCASemSecondm) at D1, Faculty: Naveen Kandwal
2025-05-16 08:00 - 2025-05-16 08:50: Applied AI (BCASemSecondm) at D1, Faculty: Naveen Kandwal
2025-05-23 08:00 - 2025-05-23 08:50: Applied AI (BCASemSecondm) at D1, Faculty: Naveen Kandwal
2025-05-30 08:00 - 2025-05-30 08:50: Applied AI (BCASemSecondm) at D1, Faculty: Naveen Kandwal
2025-06-06 08:00 - 2025-06-06 08:50: Applied AI (BCASemSecondm) at D1, Faculty: Naveen Kandwal
2025-03-03 09:40 - 2025-03-03 10:30: Python Programming (BCASemSecondm) at D1, Faculty: Dr. Manivel Kandasamy
2025-03-10 09:40 - 2025-03-10 10:30: Python Programming (BCASemSecondm) at D1, Faculty: Dr. Manivel Kandasamy
2025-03-17 09:40 - 2025-03-17 10:30: Python Programming (BCASemSecondm) at D1, Faculty: Dr. Manivel Kandasamy
2025-03-24 09:40 - 2025-03-24 10:30: Python Programming (BCASemSecondm) at D1, Faculty: Dr. Manivel Kandasamy
2025-03-31 09:40 - 2025-03-31 10:30: Python Programming (BCASemSecondm) at D1, Faculty: Dr. Manivel Kandasamy
2025-04-07 09:40 - 2025-04-07 10:30: Python Programming (BCASemSecondm) at D1, Faculty: Dr. Manivel Kandasamy
2025-04-14 09:40 - 2025-04-14 10:30: Python Programming (BCASemSecondm) at D1, Faculty: Dr. Manivel Kandasamy
2025-04-21 09:40 - 2025-04-21 10:30: Python Programming (BCASemSecondm) at D1, Faculty: Dr. Manivel Kandasamy
2025-04-28 09:40 - 2025-04-28 10:30: Python Programming (BCASemSecondm) at D1, Faculty: Dr. Manivel Kandasamy
2025-05-05 09:40 - 2025-05-05 10:30: Python Programming (BCASemSecondm) at D1, Faculty: Dr. Manivel Kandasamy
2025-05-12 09:40 - 2025-05-12 10:30: Python Programming (BCASemSecondm) at D1, Faculty: Dr. Manivel Kandasamy
